command,usage_repo,redis_category
SISMEMBER,emailserv,set
SISMEMBER,fs-flint-platform,set
SISMEMBER,kairos-scheduler,set
SISMEMBER,omnichannel,set
SMEMBERS,EventNotificationService,set
SMEMBERS,emailserv,set
SMEMBERS,fo_asset_processing_engine,set
SMEMBERS,fs-flint-platform,set
SMEMBERS,kairos-scheduler,set
SMEMBERS,omnichannel,set
SPOP,EventNotificationService,set
SPOP,emailserv,set
SPOP,omnichannel,set
SRANDMEMBER,channel-service,set
SREM,EventNotificationService,set
SREM,emailserv,set
SREM,freshcaller-cpaas,set
SREM,kairos-scheduler,set
SREM,omnichannel,set
SUBSCRIBE,mcr,pubsub
TTL,EventNotificationService,key
TTL,emailserv,key
TTL,fs-flint-portal,key
TTL,kairos-scheduler,key
TTL,omnichannel,key
UNWATCH,kairos-scheduler,transaction
WATCH,kairos-scheduler,transaction
ZADD,kairos-scheduler,sorted_set
ZADD,kairos-scheduler,transaction
ZCARD,kairos-scheduler,sorted_set
ZCOUNT,kairos-scheduler,sorted_set
ZRANGE,EventNotificationService,sorted_set
ZRANGE,emailserv,sorted_set
ZRANGE,kairos-scheduler,sorted_set
ZRANGE,omnichannel,sorted_set
ZRANGEBYSCORE,kairos-scheduler,sorted_set
ZREM,kairos-scheduler,sorted_set
ZREM,kairos-scheduler,transaction
ZREMRANGEBYSCORE,kairos-scheduler,sorted_set
ZSCORE,kairos-scheduler,sorted_set
jedis_pool,EventNotificationService,pooling
jedis_pool,admin-nexus,pooling
jedis_pool,channel-service,pooling
jedis_pool,conv_store,pooling
jedis_pool,emailserv,pooling
jedis_pool,feeds-v2,pooling
jedis_pool,fo_asset_processing_engine,pooling
jedis_pool,formserv,pooling
jedis_pool,freddy-cx-system42,pooling
jedis_pool,freshcaller-cpaas,pooling
jedis_pool,fs-flint-platform,pooling
jedis_pool,fs-flint-portal,pooling
jedis_pool,iris-api,pooling
jedis_pool,iris-push-service-api,pooling
jedis_pool,kairos-scheduler,pooling
jedis_pool,mcr,pooling
jedis_pool,omnichannel,pooling
jedis_pool,time-tracking-service,pooling
